,자치구,택시운송업.1,한식 일반 음식점업.1,용달 화물자동차 운송업.1,부동산 중개 및 대리업.1,두발미용업.1,커피전문점.1,남녀용 겉옷 및 셔츠 도매업.1,기타주점업.1,일반 교과 학원.1,한식 육류요리 전문점.1
2,종로구,215,"5,912",646,889,480,"3,613",962,"1,413",382,"1,982"
20,중구,235,"6,414",333,"1,152",816,"3,542","24,248",982,175,"2,121"
36,용산구,523,"2,987",466,"1,214",777,"2,076",317,"1,332",573,"1,184"
53,성동구,"2,527","2,785","1,161","1,453",851,"1,859","1,572",621,"1,494","1,545"
71,광진구,"1,744","2,861",985,"1,313","1,337","1,887",687,"1,577","1,646","1,678"
87,동대문구,"2,093","3,566","1,456","1,208",891,"1,472",976,"1,082",984,"1,509"
102,중랑구,"6,262","2,479","1,877","1,104","1,108","1,037",284,"1,000","1,045","1,504"
119,성북구,"2,643","2,822","1,335","1,175","1,245","1,384",454,"1,030","1,755","1,334"
140,강북구,"2,589","2,663","1,030",867,997,"1,095",94,"1,275",740,"1,176"
154,도봉구,"5,783","2,009","1,574",794,847,837,43,477,"1,162",943
169,노원구,"6,074","2,650","1,736","1,053","1,353","1,748",123,844,"3,281","1,557"
189,은평구,"4,430","2,585","1,349","1,614","1,443","1,296",74,925,"1,793","1,639"
206,서대문구,"2,677","2,694",808,956,"1,185","1,323",68,"1,127","1,268","1,088"
221,마포구,"1,838","4,705",829,"1,903","2,042","4,475","1,209","2,559","1,855","2,928"
238,양천구,"4,942","2,800","1,293","1,364","1,428","1,375",52,851,"5,804","1,111"
257,강서구,"6,922","4,584","1,862","2,352","1,751","2,530",700,"1,709","2,347","2,274"
278,구로구,"3,817","3,215","1,351","1,213","1,134","1,384",923,"1,165","1,111","1,496"
294,금천구,"2,598","2,619",997,"1,381",715,"1,215","2,575",685,487,"1,042"
305,영등포구,"2,397","6,476","1,429","1,566","1,261","3,295","1,220","1,489","1,082","2,151"
324,동작구,"1,115","2,322",844,"1,483","1,105","1,628",199,955,"1,463","1,177"
340,관악구,"2,027","3,689","1,600","2,136","1,604","2,049",190,"1,672","1,230","1,628"
362,서초구,903,"6,712",411,"2,758","1,832","3,897","1,563","1,255","3,812","2,338"
381,강남구,"2,517","11,486",487,"6,508","6,255","7,273","8,320","2,528","9,020","5,008"
404,송파구,"4,850","5,760","1,931","3,190","2,328","3,372","2,830","1,469","4,160","2,781"
432,강동구,"4,980","3,388","1,566","1,990","1,429","1,660","1,433","1,349","2,104","1,459"
