,자치구,남자인구,여자인구
3,종로구,74018,79666
4,중구,63869,67581
5,용산구,114571,121947
6,성동구,141662,149947
7,광진구,169525,183585
8,동대문구,172318,180274
9,중랑구,193623,199977
10,성북구,212277,230403
11,강북구,145934,154890
12,도봉구,154440,163660
13,노원구,247417,267028
14,은평구,227172,248841
15,서대문구,149805,167270
16,마포구,176886,201743
17,양천구,219882,229496
18,강서구,277797,300629
19,구로구,208027,211957
20,금천구,123959,120942
21,영등포구,198080,202161
22,동작구,190377,204272
23,관악구,250450,249886
24,서초구,197665,216012
25,강남구,257096,280242
26,송파구,321963,346298
27,강동구,227891,237206
